Date,SPX,AMZN,AAPL,SPY,FB,TSLA,MSFT,QQQ,NFLX,JPM,DIS,NVDA,BA,GOOGL,ZM,T,NDX,IWM,GOOG,BAC,BYND,INTC,JNJ
6/24/2020,-205.72%,-166.76%,-136.64%,-189.09%,-306.81%,-344.99%,-190.05%,-175.62%,-233.48%,-220.79%,-337.29%,-259.85%,-391.65%,-212.17%,54.71%,-207.21%,-181.02%,-198.03%,-206.70%,-306.59%,85.22%,-93.08%,-119.44%
6/25/2020,121.97%,54.45%,112.93%,126.24%,44.98%,321.01%,126.78%,86.17%,151.32%,368.52%,212.82%,141.20%,286.48%,69.39%,49.32%,75.79%,97.34%,195.09%,79.09%,412.62%,-251.12%,-80.33%,-64.44%
6/26/2020,-208.74%,-305.26%,-304.26%,-203.63%,-766.38%,-365.74%,-173.18%,-230.21%,-518.49%,-272.17%,-169.57%,-376.84%,-200.58%,-513.72%,-144.86%,-164.01%,-241.36%,-205.60%,-525.00%,-406.05%,-148.22%,-172.17%,-124.81%
6/29/2020,114.79%,-35.82%,236.59%,100.18%,493.56%,399.76%,134.05%,117.77%,44.94%,-43.01%,225.97%,32.61%,693.61%,263.38%,-257.89%,190.52%,111.04%,172.17%,263.80%,-8.55%,-159.64%,137.29%,21.58%
6/30/2020,164.22%,267.51%,129.39%,141.72%,285.37%,679.26%,276.64%,195.07%,110.32%,130.77%,0.90%,193.72%,-257.50%,149.51%,144.75%,70.14%,183.76%,175.30%,164.12%,231.58%,88.82%,187.20%,87.46%
7/1/2020,32.00%,419.62%,-27.46%,30.59%,380.97%,326.90%,76.21%,112.98%,651.51%,-174.78%,16.81%,9.44%,-308.34%,158.11%,300.24%,-75.32%,115.61%,-129.04%,186.37%,-331.04%,-355.13%,-187.04%,-22.08%
7/2/2020,-43.36%,-75.43%,-102.16%,-64.38%,-239.05%,-105.49%,28.12%,-30.93%,-183.48%,-224.48%,-251.38%,-28.09%,-263.81%,123.81%,28.27%,-8.81%,-43.02%,-151.69%,121.52%,-236.15%,-422.11%,-10.15%,-19.86%
7/6/2020,77.43%,399.08%,102.72%,21.45%,271.35%,692.26%,88.75%,113.39%,264.07%,60.00%,52.43%,98.59%,180.41%,76.02%,-153.26%,-17.38%,109.73%,-131.77%,105.63%,-67.62%,0.00%,137.72%,56.65%
7/7/2020,-66.70%,-194.65%,-72.98%,-50.99%,60.20%,-109.00%,-105.64%,-58.06%,-84.15%,-162.48%,0.00%,-74.96%,-346.04%,-41.61%,20.98%,4.37%,-68.35%,-91.56%,-32.32%,-160.80%,36.34%,-130.34%,102.21%
7/8/2020,53.50%,190.19%,121.67%,49.66%,224.57%,-286.62%,129.68%,76.54%,83.54%,108.25%,272.59%,217.31%,57.20%,18.62%,94.62%,0.00%,67.77%,83.13%,10.70%,30.30%,108.29%,27.30%,27.92%
7/9/2020,-75.94%,209.26%,-60.62%,-78.25%,-20.45%,-19.37%,-93.78%,11.06%,-12.60%,-245.40%,25.68%,122.75%,-368.77%,56.63%,18.92%,-112.16%,8.11%,-212.12%,30.44%,-74.66%,-267.67%,37.66%,-18.95%
7/10/2020,103.32%,25.62%,60.47%,103.28%,56.31%,962.32%,2.34%,74.63%,528.49%,443.54%,210.32%,-104.97%,377.72%,167.64%,148.62%,211.08%,78.03%,153.56%,230.90%,545.38%,-13.33%,265.41%,-26.69%
7/13/2020,-155.57%,-473.58%,-187.47%,-168.02%,-335.15%,-1082.16%,-357.85%,-322.19%,-808.37%,-110.60%,-320.08%,-540.19%,-259.04%,-249.97%,-704.19%,-133.57%,-329.49%,-235.09%,-255.39%,-74.41%,-723.92%,-215.09%,110.19%
7/14/2020,179.59%,-16.21%,228.72%,176.22%,123.89%,-258.11%,106.55%,165.15%,148.61%,-16.29%,289.06%,291.03%,164.48%,184.11%,-36.54%,79.61%,174.63%,169.22%,198.61%,103.56%,138.52%,188.20%,175.77%
7/15/2020,1.80%,-237.30%,-128.93%,-17.40%,-52.86%,19.40%,-73.06%,-29.90%,133.01%,-116.31%,-60.38%,-182.85%,127.70%,-42.19%,98.35%,-17.66%,-47.12%,109.50%,-63.42%,-65.04%,199.62%,0.00%,-99.15%
7/16/2020,22.47%,96.67%,-4.14%,31.17%,121.61%,155.94%,-72.58%,44.38%,17.25%,122.99%,143.18%,118.40%,-314.49%,88.45%,-74.43%,139.49%,34.44%,3.42%,118.58%,75.22%,-88.75%,101.45%,38.19%
